, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) ,
30n20b8 , ,0,12000,100,100,0.008499,0.008861,0.030831,-1,50.963995, ,0.333333,11486.666667,100,100,0.004221,0.004221,0.016322,80.628608,44.891402, ,0,12000,100,100,0.00836,0.009597,0.032644,-1,51.180689, ,0,12000,100,100,0.004732,0.006473,0.019949,-1,47.241404, ,0.333333,8283.333333,97.222222,16.666667,0.0013,0.0013,0.007254,92.98653,32.392638, ,0.333333,8334,96.969697,9.090909,0.002117,0.007203,0.012695,94.538879,36.061284,
neos-787933 , ,1,0,100,100,0,0,0,0,0.782894, ,1,0,100,100,0,0,0,95.468278,0.784074, ,1,0,33.333333,33.333333,0,0,0,0,0.798844, ,1,0,100,100,0,0,0,95.468278,0.78955, ,1,0,50,50,0,0,0,0,0.781552, ,1,0,100,100,0,0,0,95.468278,0.784106,
neos-827175 , ,1,1,100,100,0,0,0,2.039183,1.031219, ,1,1,100,100,0,0,0,1.464574,1.255301, ,1,0,14.285714,14.285714,0,0,0,0,1.37013, ,1,1,25,25,0,0,0,0.88495,1.282325, ,1,1,16.666667,16.666667,0,0,0,0.000042,1.883145, ,1,1,33.333333,33.333333,0,0,0,1.464579,1.677127,
neos-848589 , ,1,1,100,100,0,0,0,99.97882,3.816901, ,1,0,100,100,0,0,0,99.951243,5.241119, ,1,1,50,50,0,0,0,99.97882,8.474374, ,1,0,50,50,0,0,0,99.951243,28.285061, ,1,1,50,50,0,0,0,99.978819,6.789931, ,1,0,100,100,0,0,0,99.951243,8.856435,
neos-860300 , ,1,2,100,100,0,0,0,14.312416,1.012054, ,1,2,100,100,0,0,0,62.868123,0.774401, ,1,1,50,50,0,0,0,26.486775,0.789615, ,1,2,100,100,0,0,0,62.868123,1.006965, ,1,0,11.111111,11.111111,0,0,0,26.295188,0.770229, ,1,2.666667,20,20,0,0,0,69.930291,1.100029,
neos-873061 , ,1,3.666667,100,100,0,0,0,48.944268,6.846851, ,1,3.666667,100,100,0,0,0,50.526171,9.121228, ,1,6,25,25,0,0,0,12.175495,23.586981, ,1,1.666667,33.333333,33.333333,0,0,0,56.954556,34.828236, ,1,4,25,25,0,0,0,54.48765,12.188255, ,1,4,27.272727,27.272727,0,0,0,52.686906,16.827155,
neos-911970 , ,1,1,100,100,0,0,0,81.065665,0.019769, ,1,0,100,100,0,0,0,85.704589,0.015784, ,1,0,11.111111,11.111111,0,0,0,80.134228,0.022431, ,1,0,50,50,0,0,0,85.704589,0.020074, ,1,1,9.090909,9.090909,0,0,0,76.119592,0.038434, ,1,0,100,100,0,0,0,85.704589,0.025904,
neos-933966 , ,1,1,100,100,0,0,0,99.681246,1.406901, ,1,0,100,100,0,0,0,99.934298,0.28969, ,1,0,8.333333,8.333333,0,0,0,99.916772,1.664844, ,1,0,100,100,0,0,0,99.934298,0.42509, ,1,1,7.692308,7.692308,0,0,0,99.581509,6.357929, ,1,0,100,100,0,0,0,99.934298,0.423544,
neos-950242 , ,1,19,100,100,0,0,0,40.601504,19.339691, ,1,11.666667,100,100,0,0,0,27.619048,9.933021, ,1,103.333333,100,66.666667,0,0,0,60.410831,18.262987, ,1,176.333333,100,33.333333,0,0,0,38.333333,15.455384, ,1,26,50,50,0,0,0,43.333333,24.776964, ,1,13,50,50,0,0,0,17.777778,10.557086,
neos-957323 , ,1,1,100,100,0,0,0,9.797235,1.970134, ,1,0,100,100,0,0,0,100,1.444612, ,1,0,8.333333,8.333333,0,0,0,37.381805,1.936687, ,1,0,50,50,0,0,0,100,1.547789, ,1,1,7.692308,7.692308,0,0,0,5.038197,2.586426, ,1,0,50,50,0,0,0,100,1.366657,
neos-960392 , ,1,1.666667,100,100,0,0,0,29.691877,3.132262, ,1,0,100,100,0,0,0,100,2.126494, ,1,0,9.090909,9.090909,0,0,0,100,2.544183, ,1,0,100,100,0,0,0,100,3.37959, ,1,2,9.090909,9.090909,0,0,0,50,3.574835, ,1,0,100,100,0,0,0,100,3.047598,
neos17 , ,1,2.666667,100,100,0,0,0,71.712198,0.048499, ,1,2.666667,100,100,0,0,0,71.712198,0.03363, ,1,9.666667,33.333333,33.333333,0,0,0,31.511902,0.067735, ,1,2,33.333333,33.333333,0,0,0,65.758778,0.034789, ,1,4.666667,20,20,0,0,0,40.96331,0.069923, ,1,2,50,50,0,0,0,67.533385,0.040206,
neos5 , ,1,1,100,100,0,0,0,29.095466,0.010533, ,1,1,100,100,0,0,0,16.666667,0.006415, ,1,1,25,25,0,0,0,18.796992,0.01114, ,1,0,33.333333,33.333333,0,0,0,14.285714,0.00799, ,1,1,25,25,0,0,0,9.090909,0.015294, ,1,1,33.333333,33.333333,0,0,0,23.684211,0.009021,
neos8 , ,1,1.666667,100,100,0,0,0,33.548445,0.481545, ,1,0,100,100,0,0,0,100,0.429144, ,1,0,9.090909,9.090909,0,0,0,65.47459,0.456872, ,1,0,100,100,0,0,0,100,0.468349, ,1,0,10,10,0,0,0,100,0.466061, ,1,0,100,100,0,0,0,100,0.47989,
net12 , ,1,17.666667,100,100,0,0,0,33.685159,3.16284, ,1,16.333333,100,100,0,0,0,27.702703,1.023748, ,1,10,100,100,0,0,0,35.091838,4.959407, ,1,10.666667,100,100,0,0,0,29.227962,1.440961, ,1,6.333333,15.384615,15.384615,0,0,0,36.498516,4.128968, ,1,6.333333,66.666667,66.666667,0,0,0,29.227962,1.477389,
netdiversion , ,1,13.333333,100,100,0,0,0,50.348001,61.852874, ,1,13.333333,100,100,0,0,0,99.99743,504.521794, ,1,104.333333,100,88.888889,0,0,0,52.779399,80.783354, ,1,98.666667,100,66.666667,0,0,0,99.997313,636.011507, ,1,14,62.5,62.5,0,0,0,46.023855,77.266031, ,1,99.333333,33.333333,16.666667,0,0,0,99.997395,577.292584,
nexp-150-20-8-5 , ,1,1,100,100,0,0,0,58.152174,0.354786, ,1,1,100,100,0,0,0,58.152174,0.330388, ,1,4.666667,14.285714,14.285714,0,0,0,58.75,0.516903, ,1,4.666667,20,20,0,0,0,58.152174,0.461163, ,1,2,7.692308,7.692308,0,0,0,59.137324,0.468838, ,1,2,7.692308,7.692308,0,0,0,56.902985,0.438143,
ns1116954 , ,1,74.666667,100,100,0,0,0,0,24.641295, ,1,165.666667,100,100,0,0,0,0,48.135852, ,1,66.666667,100,100,0,0,0,0,46.447105, ,1,542,100,100,0,0,0,0,125.160628, ,1,205.666667,18.181818,9.090909,0,0,0,0,165.460336, ,1,391.333333,30.30303,9.090909,0,0,0,0,161.198746,
ns1208400 , ,1,405.666667,100,100,0,0,0,0,362.147383, ,1,829.666667,100,100,0,0,0,0,737.585171, ,1,405.666667,100,100,0,0,0,0,360.68411, ,1,829.666667,100,100,0,0,0,0,737.319582, ,1,627,66.666667,9.090909,0,0,0,0,464.085375, ,1,1464.333333,90.909091,9.090909,0,0,0,0,1162.835025,
ns1644855 , ,1,1,100,100,0,0,0,30.337488,399.325525, ,1,1,100,100,0,0,0,34.135141,18.49958, ,1,1,12.5,12.5,0,0,0,36.278154,857.609813, ,1,0,11.111111,11.111111,0,0,0,35.315985,17.021233, ,1,1,84.615385,84.615385,0,0,0,20.628326,3142.988559, ,1,1,9.090909,9.090909,0,0,0,46.140389,187.436048,
ns1760995 , ,1,10,100,100,0,0,0,80.335175,322.747707, ,1,1,100,100,0,0,0,83.365016,117.706739, ,1,14,91.666667,91.666667,0,0,0,80.745835,322.597722, ,1,1,100,100,0,0,0,79.461305,123.605954, ,1,24.666667,7.692308,7.692308,0,0,0,83.054969,218.944259, ,1,1,10,10,0,0,0,72.537464,90.237419,
ns1830653 , ,1,915.666667,100,100,0,0,0,45.935966,19.403147, ,1,461.333333,100,100,0,0,0,50.465306,10.230583, ,1,485.333333,100,87.5,0,0,0,47.983981,7.978661, ,1,362.666667,100,100,0,0,0,48.027886,10.050943, ,1,1381.333333,100,15.384615,0,0,0,48.311162,40.214939, ,1,1119.333333,100,9.090909,0,0,0,45.191948,18.645242,
ns1952667 , ,0,1607.333333,100,100,0.025417,0.025549,0.301568,-1,3600.276191, ,0,1610,100,100,0.025417,0.025549,0.301568,-1,3600.106266, ,0,1602.666667,100,100,0.025417,0.025549,0.301568,-1,3600.39841, ,0,1502,100,100,0.025417,0.025549,0.301568,-1,3600.378266, ,0,1473.333333,100,100,0.025417,0.025549,0.301568,-1,3600.969302, ,0,1603.666667,100,100,0.025417,0.025549,0.301568,-1,3600.965883,
nu25-pr12 , ,1,2,100,100,0,0,0,2.654628,0.10723, ,1,0,100,100,0,0,0,86.002701,0.059905, ,1,1,14.285714,14.285714,0,0,0,2.800463,0.130917, ,1,0,33.333333,33.333333,0,0,0,86.002701,0.092346, ,1,2,100,100,0,0,0,2.654628,0.228987, ,1,0,66.666667,66.666667,0,0,0,19.436557,0.077728,
nursesched-medium-hint03 , ,1,7.333333,100,100,0,0,0,94.638062,42.076908, ,1,3.666667,100,100,0,0,0,98.030865,192.277694, ,1,7.333333,100,100,0,0,0,94.594233,113.769902, ,1,136.666667,100,85.714286,0,0,0,98.501501,224.278392, ,1,16.666667,21.428571,21.428571,0,0,0,95.696532,12.859827, ,1,32.333333,23.076923,15.384615,0,0,0,98.520135,425.694777,
nursesched-sprint02 , ,1,5.333333,100,100,0,0,0,42.562884,1.528863, ,1,4.333333,100,100,0,0,0,87.676893,1.518794, ,1,5,87.5,87.5,0,0,0,3.861566,1.330293, ,1,1,87.5,87.5,0,0,0,87.659574,1.073318, ,1,14,21.428571,21.428571,0,0,0,56.205005,2.028512, ,1,0,7.692308,7.692308,0,0,0,87.13969,1.800201,
nw04 , ,1,3.666667,100,100,0,0,0,10.349498,1.404472, ,1,4.666667,100,100,0,0,0,44.279545,1.326977, ,1,3.666667,100,100,0,0,0,10.349498,2.114905, ,1,82,100,66.666667,0,0,0,31.875372,2.031592, ,1,4.666667,75,75,0,0,0,24.440505,1.989822, ,1,95,20,10,0,0,0,32.786437,1.819942,
opm2-z10-s4 , ,1,1,100,100,0,0,0,94.150711,34.826271, ,1,0,100,100,0,0,0,100,3.354737, ,1,0,20,20,0,0,0,94.367129,26.145932, ,1,0,50,50,0,0,0,100,3.070283, ,1,0,16.666667,16.666667,0,0,0,94.367129,25.94209, ,1,0,50,50,0,0,0,100,3.410866,
p200x1188c , ,1,2,100,100,0,0,0,4.248428,0.023718, ,1,2,100,100,0,0,0,19.170151,0.028062, ,1,2,50,50,0,0,0,4.248428,0.042111, ,1,2,50,50,0,0,0,28.104139,0.051738, ,1,2,25,25,0,0,0,34.514658,0.041351, ,1,2,25,25,0,0,0,17.73692,0.043001,
peg-solitaire-a3 , ,0,12000,100,100,0.043937,0.043937,0.087873,-1,2263.152582, ,0,12000,100,100,0.05126,0.05126,0.102519,-1,1804.968014, ,0,12000,100,100,0.043937,0.043937,0.087873,-1,2276.661931, ,0,12000,100,83.333333,0.043937,0.043937,0.087873,-1,2034.538333, ,0.333333,11734,100,9.090909,0.014646,0.014646,0.029291,0,1770.398398, ,0,12000,100,100,0.05126,0.05126,0.102519,-1,1806.857566,
pg , ,1,2.333333,100,100,0,0,0,21.049999,0.039023, ,1,1.666667,100,100,0,0,0,10.120007,0.039436, ,1,1.666667,9.090909,9.090909,0,0,0,9.001193,0.089239, ,1,1.666667,50,50,0,0,0,10.120007,0.066424, ,1,1.666667,8.333333,8.333333,0,0,0,16.571346,0.077674, ,1,2,33.333333,33.333333,0,0,0,27.22384,0.079708,
pg5_34 , ,1,2.333333,100,100,0,0,0,17.2432,0.047145, ,1,0,100,100,0,0,0,100,0.022195, ,1,0,8.333333,8.333333,0,0,0,71.477096,0.048527, ,1,0,100,100,0,0,0,100,0.033012, ,1,0,8.333333,8.333333,0,0,0,71.477096,0.049459, ,1,0,100,100,0,0,0,100,0.033675,
physiciansched3-3 , ,1,85.666667,100,100,0,0,0,17.033668,155.365132, ,1,237,100,100,0,0,0,23.191281,98.959572, ,1,257.333333,100,92.307692,0,0,0,18.949905,332.371857, ,1,130,100,100,0,0,0,21.450696,102.853009, ,1,163,100,100,0,0,0,16.414924,147.495066, ,1,130,100,100,0,0,0,21.450696,95.716714,
physiciansched6-2 , ,1,2600.333333,100,100,0,0,0,4.877608,96.522746, ,1,2100.333333,100,100,0,0,0,6.970572,86.805699, ,1,302.333333,100,92.307692,0,0,0,4.068415,23.526532, ,1,181.333333,100,100,0,0,0,4.581231,14.316075, ,1,53.666667,100,100,0,0,0,2.244375,5.804467, ,1,181.333333,100,100,0,0,0,4.581231,13.626724,
piperout-08 , ,0,12000,100,100,0.125621,0.218469,0.851406,-1,85.1499, ,0,12000,100,100,0.119229,0.211173,0.793574,-1,83.932564, ,0,12000,100,100,0.125621,0.218469,0.851406,-1,84.140747, ,0,12000,100,100,0.119229,0.211173,0.793574,-1,83.391482, ,0,12000,100,100,0.125621,0.218469,0.851406,-1,86.443399, ,0,12000,100,100,0.119229,0.211173,0.793574,-1,85.721246,
piperout-27 , ,0,12000,100,100,0.173549,0.319732,0.830827,-1,110.569674, ,0,12000,100,100,0.13158,0.31447,0.919639,-1,110.544381, ,0,12000,100,100,0.173549,0.319732,0.830827,-1,111.841035, ,0,12000,100,100,0.13158,0.31447,0.919639,-1,111.677097, ,0,12000,100,92.857143,0.182955,0.374416,1.123048,-1,115.025192, ,0,12000,100,76.923077,0.026807,0.036425,0.212004,-1,111.218511,
pk1 , ,1,1,100,100,0,0,0,73.806223,0.006994, ,1,0,100,100,0,0,0,98.495212,0.004213, ,1,0,11.111111,11.111111,0,0,0,93.167702,0.008029, ,1,0,100,100,0,0,0,98.495212,0.005732, ,1,1,10,10,0,0,0,89.57231,0.011533, ,1,0,100,100,0,0,0,98.495212,0.005877,
proteindesign121hz512p9 , ,1,3,100,100,0,0,0,2.450331,2.39261, ,1,1156.333333,100,100,0,0,0,19.795825,36.336722, ,1,3,100,100,0,0,0,2.450331,2.784987, ,1,1156.333333,100,100,0,0,0,19.795825,37.024914, ,1,440,42.857143,21.428571,0,0,0,10.367054,27.695118, ,1,667.666667,51.515152,9.090909,0,0,0,5.51257,50.877381,
proteindesign122trx11p8 , ,1,116.333333,100,100,0,0,0,7.584565,22.132244, ,1,605.666667,100,100,0,0,0,2.695275,127.71378, ,1,116.333333,100,100,0,0,0,7.584565,22.663918, ,1,605.666667,100,100,0,0,0,2.695275,127.894915, ,1,881,61.904762,21.428571,0,0,0,10.508994,189.904197, ,1,560,48.484848,9.090909,0,0,0,4.879072,150.053761,
qap10 , ,1,1,100,100,0,0,0,9.090909,8.640609, ,1,1,100,100,0,0,0,31.174089,3.521613, ,1,167.666667,100,33.333333,0,0,0,12.409812,10.057129, ,1,84.666667,100,50,0,0,0,34.108527,2.363373, ,1,89.333333,28.571429,14.285714,0,0,0,17.406198,10.913164, ,1,87.333333,18.518519,11.111111,0,0,0,33.233976,186.753311,
radiationm18-12-05 , ,1,183.333333,100,100,0,0,0,73.798165,2.379646, ,1,248.666667,100,100,0,0,0,70.437596,2.830202, ,1,146.666667,91.666667,91.666667,0,0,0,67.96023,1.979569, ,1,105.666667,86.666667,80,0,0,0,48.565368,1.495807, ,1,74.666667,12.121212,9.090909,0,0,0,60.864455,1.302196, ,1,136.333333,11.111111,8.333333,0,0,0,39.655203,1.539146,
radiationm40-10-02 , ,0,2310.666667,100,100,0.00105,0.007135,0.019462,-1,74.169433, ,0.333333,1625.666667,100,100,0.000037,0.006395,0.008515,65.233273,55.724644, ,1,134,92.307692,92.307692,0,0,0,60.151067,6.211806, ,1,131.666667,100,80,0,0,0,33.694844,5.328199, ,1,159.333333,14.285714,14.285714,0,0,0,52.832808,5.295099, ,1,234.333333,21.212121,9.090909,0,0,0,40.835364,7.364139,
rail01 , ,1,12.333333,100,100,0,0,0,85.954452,925.018357, ,1,12,100,100,0,0,0,89.488767,96.267493, ,1,12.333333,100,100,0,0,0,64.108126,768.975559, ,1,12.333333,100,100,0,0,0,82.481931,148.871876, ,1,12.333333,100,100,0,0,0,64.108126,795.951091, ,1,14.666667,18.181818,18.181818,0,0,0,82.146172,153.493092,
rail02 , ,0,1,100,100,100,100,100,-1,3600.085798, ,1,0,100,100,0,0,0,77.38699,701.976813, ,0,1,100,0,100,100,100,-1,3600.908131, ,1,0,33.333333,33.333333,0,0,0,77.38699,741.586163, ,0,1,100,100,0.864452,0.696191,4.367056,-1,3601.056514, ,1,0,66.666667,66.666667,0,0,0,77.38699,704.263055,
rail507 , ,1,1,100,100,0,0,0,19.315573,3.119621, ,1,1,100,100,0,0,0,29.011551,3.654119, ,1,1,11.111111,11.111111,0,0,0,18.054479,2.376498, ,1,1,16.666667,16.666667,0,0,0,28.415164,3.284566, ,1,1,28.571429,28.571429,0,0,0,27.626305,3.641355, ,1,1,35.714286,35.714286,0,0,0,28.014745,4.966226,
ran14x18-disj-8 , ,1,2,100,100,0,0,0,37.697935,0.126697, ,1,2.333333,100,100,0,0,0,49.820496,0.067989, ,1,3,10,10,0,0,0,28.329145,0.185214, ,1,1.333333,25,25,0,0,0,44.00362,0.095189, ,1,2.333333,7.692308,7.692308,0,0,0,33.863956,0.149682, ,1,2.333333,9.090909,9.090909,0,0,0,48.851248,0.116901,
rd-rplusc-21 , ,0,12000,100,100,0.008503,0.008503,0.583516,-1,962.660956, ,0,12000,100,100,0.015843,0.015843,0.948213,-1,704.746967, ,0,12000,100,100,0.012352,0.012352,0.437637,-1,970.849063, ,0,12000,100,100,0.015681,0.015681,0.583516,-1,704.802384, ,0,12000,100,14.285714,0.007583,0.007583,0.437637,-1,717.856866, ,0,12000,100,11.111111,0.026221,0.026221,0.948213,-1,717.273639,
reblock115 , ,1,9.333333,100,100,0,0,0,37.957749,0.859599, ,1,0,100,100,0,0,0,100,0.082174, ,1,1.666667,8.333333,8.333333,0,0,0,94.107166,0.494484, ,1,0,50,50,0,0,0,100,0.085985, ,1,1.666667,11.111111,11.111111,0,0,0,94.107166,0.494382, ,1,0,50,50,0,0,0,100,0.086314,
rmatr100-p10 , ,1,1,100,100,0,0,0,23.300785,0.628013, ,1,0,100,100,0,0,0,43.6,0.089039, ,1,1,100,100,0,0,0,23.300785,1.655544, ,1,0,50,50,0,0,0,43.6,0.11318, ,1,1,100,100,0,0,0,23.300785,1.719222, ,1,0,100,100,0,0,0,43.6,0.143206,
rmatr200-p5 , ,1,1,100,100,0,0,0,16.293279,14.229515, ,1,0,100,100,0,0,0,30.977099,0.523039, ,1,1,100,100,0,0,0,16.293279,49.018818, ,1,0,50,50,0,0,0,30.977099,0.728938, ,1,1,100,100,0,0,0,16.293279,49.473107, ,1,0,100,100,0,0,0,30.977099,0.850551,
rocI-4-11 , ,0,12000,100,100,0.134097,0.025329,1.358462,-1,61.987502, ,0,12000,100,100,0.045819,0.006258,0.574527,-1,70.076322, ,0,12000,100,100,0.088071,0.021968,1.175902,-1,62.658988, ,0,12000,100,100,0.062961,0.008819,1.19738,-1,72.087662, ,0,12000,100,83.333333,0.219896,0.039275,1.594716,-1,65.722776, ,0,12000,100,100,0.062961,0.008819,1.19738,-1,72.116822,
rocII-5-11 , ,0,12000,100,100,0.018962,0.01244,0.176351,-1,296.693747, ,0,12000,100,100,0.009206,0.006687,0.096993,-1,285.260485, ,0,12000,100,88.888889,0.004499,0.004303,0.070541,-1,284.433015, ,0,12000,100,100,0.007669,0.00515,0.096993,-1,285.06687, ,0,12000,100,84.615385,0.015207,0.008584,0.146959,-1,285.047368, ,0,12000,100,15.384615,0.016188,0.008161,0.132263,-1,283.54061,
rococoB10-011000 , ,1,14.666667,100,100,0,0,0,80.100454,0.328265, ,1,13.666667,100,100,0,0,0,81.361997,0.135825, ,1,2,11.111111,11.111111,0,0,0,73.736546,0.307297, ,1,0,33.333333,33.333333,0,0,0,67.84492,0.08882, ,1,15.666667,38.461538,38.461538,0,0,0,74.171169,0.521784, ,1,0,50,50,0,0,0,67.84492,0.088542,
rococoC10-001000 , ,1,18.666667,100,100,0,0,0,91.166843,0.138004, ,1,17.333333,100,100,0,0,0,92.840557,0.086937, ,1,0,33.333333,33.333333,0,0,0,51.7067,0.107036, ,1,3.333333,33.333333,33.333333,0,0,0,82.072351,0.063763, ,1,12.333333,30.769231,30.769231,0,0,0,90.252015,0.143505, ,1,6.333333,25,25,0,0,0,85.299261,0.06912,
roi2alpha3n4 , ,1,1,100,100,0,0,0,61.518218,2.960565, ,1,0,100,100,0,0,0,100,2.190556, ,1,1,12.5,12.5,0,0,0,88.747348,2.807135, ,1,0,33.333333,33.333333,0,0,0,100,1.9189, ,1,0,12.5,12.5,0,0,0,77.009922,2.810286, ,1,0,50,50,0,0,0,100,2.119128,
roi5alpha10n8 , ,1,1,100,100,0,0,0,73.94326,8.015855, ,1,0,100,100,0,0,0,100,4.930892, ,1,1,10,10,0,0,0,72.806901,6.470866, ,1,0,33.333333,33.333333,0,0,0,100,4.969239, ,1,1,10,10,0,0,0,70.601814,6.705468, ,1,0,50,50,0,0,0,100,4.509723,
roll3000 , ,1,56.666667,100,100,0,0,0,29.050117,0.575499, ,1,29.666667,100,100,0,0,0,34.365362,0.321211, ,1,23.333333,92.307692,92.307692,0,0,0,30.451297,0.559736, ,1,284.666667,91.666667,25,0,0,0,28.139338,0.815716, ,1,35.333333,71.428571,71.428571,0,0,0,32.494296,0.942316, ,1,90.666667,33.333333,28.571429,0,0,0,30.430279,1.201936,
s100 , ,1,3.666667,100,100,0,0,0,34.12738,513.620273, ,1,1,100,100,0,0,0,44.95224,287.934408, ,1,4,100,100,0,0,0,34.986032,741.773485, ,1,2.333333,100,100,0,0,0,45.59289,541.531441, ,0.666667,2.666667,97.619048,66.666667,33.333333,33.333333,33.333333,34.986032,3456.022009, ,0.666667,1.666667,100,66.666667,33.333333,33.333333,33.333333,45.592988,3332.85623,
s250r10 , ,1,1,100,100,0,0,0,2.203287,41.185236, ,1,3,100,100,0,0,0,100,7.641287, ,1,29.666667,91.666667,91.666667,0,0,0,5.652068,22.976096, ,1,89.666667,100,66.666667,0,0,0,92.5496,9.668856, ,1,1,21.428571,21.428571,0,0,0,1.817329,68.019461, ,1,1,28.571429,28.571429,0,0,0,53.752992,11.888427,
satellites2-40 , ,1,297.333333,100,100,0,0,0,100,608.131085, ,1,60.333333,100,100,0,0,0,100,263.75627, ,1,126.666667,100,90.909091,0,0,0,100,518.370928, ,1,0,66.666667,66.666667,0,0,0,100,52.960055, ,1,84.666667,15.384615,7.692308,0,0,0,100,263.066248, ,1,0,16.666667,16.666667,0,0,0,100,56.759764,
satellites2-60-fs , ,1,14.333333,100,100,0,0,0,100,55.002214, ,1,15.666667,100,100,0,0,0,100,90.521218, ,1,51.666667,100,91.666667,0,0,0,100,396.790317, ,1,0,75,75,0,0,0,100,35.374298, ,1,89,15.384615,7.692308,0,0,0,100,53.790742, ,1,0,20,20,0,0,0,100,36.943515,
savsched1 , ,1,1,100,100,0,0,0,68.313253,1011.293541, ,1,0,100,100,0,0,0,98.973838,4.681429, ,1,0,7.692308,7.692308,0,0,0,98.92877,1055.128742, ,1,0,33.333333,33.333333,0,0,0,98.973838,4.620265, ,0,0,100,0,100,100,100,-1,3602.265611, ,1,0,50,50,0,0,0,98.973838,4.499986,
sct2 , ,1,1,100,100,0,0,0,77.996795,0.153509, ,1,0,100,100,0,0,0,100,0.060205, ,1,0,8.333333,8.333333,0,0,0,100,0.150104, ,1,0,100,100,0,0,0,100,0.093922, ,1,1,7.692308,7.692308,0,0,0,22.459477,0.261195, ,1,0,100,100,0,0,0,100,0.094125,
seymour , ,1,1,100,100,0,0,0,12.758324,1.074255, ,1,1,100,100,0,0,0,12.758324,1.073465, ,1,1,14.285714,14.285714,0,0,0,12.393417,2.59952, ,1,1,14.285714,14.285714,0,0,0,12.393417,2.626989, ,1,1,100,100,0,0,0,12.908751,1.805257, ,1,1,100,100,0,0,0,12.908751,1.543678,
seymour1 , ,1,1,100,100,0,0,0,4.299528,1.33628, ,1,1,100,100,0,0,0,3.633781,0.089105, ,1,1,10,10,0,0,0,1.765064,4.144229, ,1,1,25,25,0,0,0,2.68876,0.13978, ,1,1,10,10,0,0,0,2.290556,3.858786, ,1,1,100,100,0,0,0,4.15562,0.130416,
sing326 , ,1,1.333333,100,100,0,0,0,42.613141,5.519487, ,1,0,100,100,0,0,0,98.359918,3.074892, ,1,0,7.692308,7.692308,0,0,0,72.490009,7.572013, ,1,0,33.333333,33.333333,0,0,0,98.359918,3.659418, ,1,1.333333,85.714286,85.714286,0,0,0,53.276608,10.080446, ,1,0,66.666667,66.666667,0,0,0,98.383137,3.142321,
sing44 , ,1,1,100,100,0,0,0,24.756718,6.072661, ,1,0,100,100,0,0,0,98.42139,3.018563, ,1,0,7.692308,7.692308,0,0,0,36.054872,9.516963, ,1,0,33.333333,33.333333,0,0,0,98.42139,3.422264, ,1,1,71.428571,71.428571,0,0,0,6.315632,12.131985, ,1,0,50,50,0,0,0,98.103962,3.470664,
snp-02-004-104 , ,1,4,100,100,0,0,0,17.554842,6.916282, ,1,0,100,100,0,0,0,23.543248,3.78738, ,1,0,11.111111,11.111111,0,0,0,23.18295,10.672611, ,1,0,50,50,0,0,0,23.543248,5.135576, ,1,0,11.111111,11.111111,0,0,0,23.18295,11.365146, ,1,0,50,50,0,0,0,23.543248,5.319517,
sorrell3 , ,1,1,100,100,0,0,0,75,3.339804, ,1,0,100,100,0,0,0,87.5,1.908743, ,1,0,8.333333,8.333333,0,0,0,81.25,2.946819, ,1,0,100,100,0,0,0,87.5,2.03956, ,1,0,8.333333,8.333333,0,0,0,75,2.99215, ,1,0,100,100,0,0,0,87.5,1.755921,
sp150x300d , ,1,4,100,100,0,0,0,2.816901,0.012776, ,1,4,100,100,0,0,0,16.86747,0.0127, ,1,4,33.333333,33.333333,0,0,0,2.816901,0.017871, ,1,4,33.333333,33.333333,0,0,0,16.86747,0.017802, ,1,3.333333,12.5,12.5,0,0,0,14.814815,0.020389, ,1,3.333333,12.5,12.5,0,0,0,17.857143,0.017391,
sp97ar , ,1,1,100,100,0,0,0,23.404395,1.747078, ,1,1,100,100,0,0,0,62.099837,1.375509, ,1,1,8.333333,8.333333,0,0,0,19.08691,1.397524, ,1,1,25,25,0,0,0,62.83231,1.170132, ,1,1,7.692308,7.692308,0,0,0,20.154882,1.410004, ,1,1,8.333333,8.333333,0,0,0,58.545687,1.19524,
sp98ar , ,1,1,100,100,0,0,0,23.512686,1.993801, ,1,1,100,100,0,0,0,56.255806,1.517799, ,1,1,7.692308,7.692308,0,0,0,20.930865,1.960741, ,1,0,33.333333,33.333333,0,0,0,41.693286,1.421596, ,1,1,21.428571,21.428571,0,0,0,26.205717,2.858114, ,1,1,9.090909,9.090909,0,0,0,46.195061,1.465989,
