, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
cod105 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2.837539 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.172900 , , 1.000000 , 0.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 91.666667 , 1.504893 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.324875 , , 1.000000 , 1.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 3.922352 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.285994
cost266-UUE , , 1.000000 , 2.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 32.097668 , 0.168470 , , 1.000000 , 2.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 34.249350 , 0.230184 , , 1.000000 , 2.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 32.294392 , 0.429910 , , 1.000000 , 2.333333 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 34.398132 , 0.595565 , , 1.000000 , 2.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 32.294392 , 0.433220 , , 1.000000 , 2.333333 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 34.398132 , 0.589665
csched007 , , 1.000000 , 1358.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 49.441838 , 7.659004 , , 1.000000 , 1436.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 51.009499 , 8.082539 , , 1.000000 , 3904.666667 , 100.000000 , 90.000000 , 0.000000 , 0.000000 , 0.000000 , 48.019298 , 20.469746 , , 1.000000 , 1436.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 51.009499 , 8.114831 , , 1.000000 , 707.000000 , 57.142857 , 21.428571 , 0.000000 , 0.000000 , 0.000000 , 46.788593 , 4.258852 , , 1.000000 , 874.000000 , 88.888889 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 50.474550 , 5.208872
csched008 , , 1.000000 , 219.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 8.303313 , 1.647510 , , 1.000000 , 232.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 8.626195 , 1.574193 , , 1.000000 , 219.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 8.303313 , 1.409492 , , 1.000000 , 483.000000 , 100.000000 , 57.142857 , 0.000000 , 0.000000 , 0.000000 , 8.626195 , 1.691352 , , 1.000000 , 113.666667 , 12.121212 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 8.465608 , 1.022398 , , 1.000000 , 279.666667 , 33.333333 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 8.786782 , 1.965456
cvs16r128-89 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 97.938144 , 0.289911 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.079049 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 97.938144 , 1.027235 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.094939 , , 1.000000 , 0.000000 , 25.000000 , 25.000000 , 0.000000 , 0.000000 , 0.000000 , 88.659794 , 0.600917 , , 1.000000 , 0.000000 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.088352
dano3_3 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.005986 , 6.168633 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.951833 , 1.856215 , , 1.000000 , 1.000000 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 0.010939 , 27.382119 , , 1.000000 , 1.000000 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 0.764630 , 6.229706 , , 1.000000 , 1.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 0.010939 , 27.528323 , , 1.000000 , 1.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 4.738134 , 3.101338
dano3_5 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.309824 , 5.683681 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 1.612796 , 1.946477 , , 1.000000 , 1.000000 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 0.302414 , 29.060741 , , 1.000000 , 1.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 1.802046 , 6.509913 , , 1.000000 , 1.000000 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 0.302414 , 29.056681 , , 1.000000 , 1.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 1.588970 , 4.106761
decomp2 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.553681 , , 1.000000 , 12.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.891198 , , 1.000000 , 1.000000 , 66.666667 , 66.666667 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.688022 , , 1.000000 , 12.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 1.218291 , , 1.000000 , 132.666667 , 22.222222 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 67.083333 , 3.331486 , , 1.000000 , 25.666667 , 18.181818 , 18.181818 , 0.000000 , 0.000000 , 0.000000 , 75.833333 , 1.339396
drayage-100-23 , , 1.000000 , 4.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 28.607632 , 0.258943 , , 1.000000 , 2.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 86.989518 , 0.172114 , , 1.000000 , 18.000000 , 88.888889 , 88.888889 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.474453 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 85.669710 , 0.235245 , , 1.000000 , 2.333333 , 21.428571 , 21.428571 , 0.000000 , 0.000000 , 0.000000 , 21.679070 , 0.267482 , , 1.000000 , 0.000000 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 65.096376 , 0.208727
drayage-25-23 , , 1.000000 , 3.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 32.817651 , 0.240079 , , 1.000000 , 1.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 87.592005 , 0.165692 , , 1.000000 , 106.333333 , 100.000000 , 88.888889 , 0.000000 , 0.000000 , 0.000000 , 11.825197 , 1.706801 , , 1.000000 , 0.000000 , 20.000000 , 20.000000 , 0.000000 , 0.000000 , 0.000000 , 87.611836 , 0.160131 , , 1.000000 , 1.000000 , 21.428571 , 21.428571 , 0.000000 , 0.000000 , 0.000000 , 21.061726 , 0.244019 , , 1.000000 , 1.000000 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 73.793212 , 0.247786
